INSERT INTO SINONIMOS VALUES("AVC", "acidente vascular cerebral");
INSERT INTO SINONIMOS VALUES("feridas não penetrantes", "Lesão contundente");
INSERT INTO SINONIMOS VALUES("filaria", "wuchereria");
INSERT INTO SINONIMOS VALUES("exame radiológico de diagnóstico", "procedimento de raio-x");
INSERT INTO SINONIMOS VALUES("raios de roentgen", "raio X");
INSERT INTO SINONIMOS VALUES("niacinado", "nicotinato");
INSERT INTO SINONIMOS VALUES("xerostomia", "boca seca");
INSERT INTO SINONIMOS VALUES("seco", "nutricional");
INSERT INTO SINONIMOS VALUES("branco", "amarelo");
INSERT INTO SINONIMOS VALUES("pasteurella", "Yersinia");
INSERT INTO SINONIMOS VALUES("República Democrática do Congo", "Zaire");
INSERT INTO SINONIMOS VALUES("osso zigomático", "malar");
INSERT INTO SINONIMOS VALUES("(12-diamino-4-nitrobenzeno) dicloroplatina", "Platão");
INSERT INTO SINONIMOS VALUES("propiofenona", "eperisona");
INSERT INTO SINONIMOS VALUES("12-dibromo-3-cloropropano", "dibromocloropropano");
INSERT INTO SINONIMOS VALUES("1- (1-piperidina", "tcp");
INSERT INTO SINONIMOS VALUES("1-hexilcarbamoil-5-fluorouracil", "carmofur");
INSERT INTO SINONIMOS VALUES("1-fenil-2-propanona", "fenilacetona");
INSERT INTO SINONIMOS VALUES("1-fosfatidilinositol 3-quinase", "pi3-quinase");
INSERT INTO SINONIMOS VALUES("11-desidrocorticosterona", "composto um");
INSERT INTO SINONIMOS VALUES("16-metileneprednisolona", "prednilideno");
INSERT INTO SINONIMOS VALUES("17-alfa-hidroxi-progesterona", "hidroxiprogesterona");
INSERT INTO SINONIMOS VALUES("17-alfa-hidroxiprogesterona", "17-hidroxiprogesterona");
INSERT INTO SINONIMOS VALUES("2'-fluoro-5-metilarabinosiluracil", "clevudina");
INSERT INTO SINONIMOS VALUES("2266-tetrametil-4-piperidinol-n-oxil", "tempol");
INSERT INTO SINONIMOS VALUES("Éster etílico do ácido 246-triiodo-3-acetamidobenzóico", "tabac");
INSERT INTO SINONIMOS VALUES("2-cloro-3'-desoxiadenosina", "2-cda");
INSERT INTO SINONIMOS VALUES("2-cresol", "ortocresol");
INSERT INTO SINONIMOS VALUES("2-fenilfenol", "o-fenilfenol");
INSERT INTO SINONIMOS VALUES("Ácido 23-seleno-25-homotaurocólico", "sehcat");
INSERT INTO SINONIMOS VALUES("tiratricol", "triac");
INSERT INTO SINONIMOS VALUES("3 - (- 1-propanossulfonato", "caras");
INSERT INTO SINONIMOS VALUES("3-propionato", "mildronat");
INSERT INTO SINONIMOS VALUES("3 pés", "3- (tetra-hidro-2-furanil) -5-fluoro-24-pirimidinodiona");
INSERT INTO SINONIMOS VALUES("3-hidroxi-3-metilglutaril-coenzima a", "hmg-coa");
INSERT INTO SINONIMOS VALUES("3-hidroxibutírico", "beta-hidroxibutírico");
INSERT INTO SINONIMOS VALUES("4'-deoxi-oxorubicina", "esorubicina");
INSERT INTO SINONIMOS VALUES("4567-tetra-hidroisoxazolopiridin-3-ol", "gaboxadol");
INSERT INTO SINONIMOS VALUES("4-aminofenol", "para-aminofenol");
INSERT INTO SINONIMOS VALUES("4-des-dimetilaminotetraciclina", "cmt-1");
INSERT INTO SINONIMOS VALUES("4-metoxianfetamina", "para-metoxianfetamina");
INSERT INTO SINONIMOS VALUES("4-fenilenodiamina", "p-fenilenodiamina");
INSERT INTO SINONIMOS VALUES("Ácido 4-toluenossulfônico", "p-toluenossulfonato");
INSERT INTO SINONIMOS VALUES("5'-desoxi-5-fluorouridina", "doxifluridina");
INSERT INTO SINONIMOS VALUES("Ácido 5678-tetrahidrofólico", "tetraidrofolato");
INSERT INTO SINONIMOS VALUES("5 - 2-tiofenossulfonamida", "5 hts");
INSERT INTO SINONIMOS VALUES("5-aza-2'-desoxicitidina", "decitabina");
INSERT INTO SINONIMOS VALUES("5-etil-22'-anidrouridina", "aneur");
INSERT INTO SINONIMOS VALUES("5-metiltetra-hidrofolato", "folato de metila");
INSERT INTO SINONIMOS VALUES("6-fluoro-6-desoxioximorfona", "foxy metoxi");
INSERT INTO SINONIMOS VALUES("n6-furfuriladenina", "cinetina");
INSERT INTO SINONIMOS VALUES("Ácido 6-o-palmitoilascórbico", "palmitato ascorbil");
INSERT INTO SINONIMOS VALUES("7-hidroxi-2-nn-dipropilaminotetralina", "7-oh-dpat");
INSERT INTO SINONIMOS VALUES("Ácido 8-hidroxi-7-iodo-5-quinolinesulfônico", "ferron");
INSERT INTO SINONIMOS VALUES("9-arabinofuranosilguanina", "guanina arabinoside");
INSERT INTO SINONIMOS VALUES("acetorphan", "racecadotril");
INSERT INTO SINONIMOS VALUES("alanilalanina", "ala-ala");
INSERT INTO SINONIMOS VALUES("sulfeto de alilo", "óleo de alho");
INSERT INTO SINONIMOS VALUES("allyththiourea", "tiosinamina");
INSERT INTO SINONIMOS VALUES("alfa-aminopiridina", "2-aminopiridina");
INSERT INTO SINONIMOS VALUES("alfa-naftilo tioureia", "Veneno de rato ANTU");
INSERT INTO SINONIMOS VALUES("aluminossilicato", "pirofilite");
INSERT INTO SINONIMOS VALUES("protocolo anavacym", "lomac");
INSERT INTO SINONIMOS VALUES("apolipoproteína", "apoproteína");
INSERT INTO SINONIMOS VALUES("c-iii", "ciii");
INSERT INTO SINONIMOS VALUES("e-4", "e4");
INSERT INTO SINONIMOS VALUES("amendoim", "amendoim");
INSERT INTO SINONIMOS VALUES("hidrocarboneto de arilo", "ah");
INSERT INTO SINONIMOS VALUES("arilesterase", "paraoxonase");
INSERT INTO SINONIMOS VALUES("fator pro-hormonal natriurético atrial", "dilatador do vaso");
INSERT INTO SINONIMOS VALUES("azaribina", "triacetato de azauridina");
INSERT INTO SINONIMOS VALUES("carmoisina a", "cromogénio");
INSERT INTO SINONIMOS VALUES("benfotiamina", "benfotiamina");
INSERT INTO SINONIMOS VALUES("bes", "Ácido NN-bisaminoetanossulfônico");
INSERT INTO SINONIMOS VALUES("grande", "34");
INSERT INTO SINONIMOS VALUES("combinação amoxicilina-clavulanato de potássio", "co-amoxiclav");
INSERT INTO SINONIMOS VALUES("butethal", "butobarbital");
INSERT INTO SINONIMOS VALUES("butirina", "ácido alfa-aminobutírico");
INSERT INTO SINONIMOS VALUES("hipoclorito de cálcio", "cal clorada");
INSERT INTO SINONIMOS VALUES("carbeno", "metileno");
INSERT INTO SINONIMOS VALUES("carbopol 940", "ácido poliacrílico");
INSERT INTO SINONIMOS VALUES("radical", "íon dióxido");
INSERT INTO SINONIMOS VALUES("carboxilesterase", "esterase não específica");
INSERT INTO SINONIMOS VALUES("ciclofosfamida / doxorrubicina / vincristina", "Quimioterapia CAV");
INSERT INTO SINONIMOS VALUES("antígeno cd59", "Protegendo");
INSERT INTO SINONIMOS VALUES("difosfato", "fosfato");
INSERT INTO SINONIMOS VALUES("colinofilina", "oxtripilina");
INSERT INTO SINONIMOS VALUES("cicloxílico", "cicloxílico");
INSERT INTO SINONIMOS VALUES("cifenline", "cibenzolina");
INSERT INTO SINONIMOS VALUES("cineole", "eucaliptol");
INSERT INTO SINONIMOS VALUES("cinábrio", "sulfureto mercúrico");
INSERT INTO SINONIMOS VALUES("clofedanol", "chlophedianol");
INSERT INTO SINONIMOS VALUES("clorofeno", "orto-benzil-para-clorofenol");
INSERT INTO SINONIMOS VALUES("cobamamide", "dibencozide");
INSERT INTO SINONIMOS VALUES("a-4", "a4");
INSERT INTO SINONIMOS VALUES("compactina", "mevastatina");
INSERT INTO SINONIMOS VALUES("conectando", "titina");
INSERT INTO SINONIMOS VALUES("ciclofosfamida / dacarbazina / vincristina", "Quimioterapia CVD");
INSERT INTO SINONIMOS VALUES("ciclofosfamida / prednisona / vincristina", "Protocolo de quimioterapia COP 2");
INSERT INTO SINONIMOS VALUES("cianogênio", "etanodinitrilo");
INSERT INTO SINONIMOS VALUES("cicletanida", "cicletanina");
INSERT INTO SINONIMOS VALUES("Ligação de DNA", "AMP");
INSERT INTO SINONIMOS VALUES("d-alanina", "alanina transferase");
INSERT INTO SINONIMOS VALUES("citarabina / daunorrubicina / tioguanina", "Protocolo de quimioterapia DAT 1");
INSERT INTO SINONIMOS VALUES("de-nol", "denol");
INSERT INTO SINONIMOS VALUES("desaminoxitocina", "desaminooxitocina");
INSERT INTO SINONIMOS VALUES("Ácido decanodioico 44 '- (13-propanodiilbis (oxi)) bis copolímero", "pcpp-sa");
INSERT INTO SINONIMOS VALUES("dehidroepiandrosterona", "dhea");
INSERT INTO SINONIMOS VALUES("desidrotestosterona", "boldenona");
INSERT INTO SINONIMOS VALUES("desoxirrionuclease", "dnase");
INSERT INTO SINONIMOS VALUES("di-alato", "diallate");
INSERT INTO SINONIMOS VALUES("napadisilato de mebhydrolin", "diazolin");
INSERT INTO SINONIMOS VALUES("diclorano", "dicloran");
INSERT INTO SINONIMOS VALUES("dicianometano", "malononitrilo");
INSERT INTO SINONIMOS VALUES("éter de dihematoporfirina", "porfímero");
INSERT INTO SINONIMOS VALUES("alantoinato de di-hidroxialumínio", "aldioxa");
INSERT INTO SINONIMOS VALUES("diiodo-alfa-bungarotoxina", "diabinho");
INSERT INTO SINONIMOS VALUES("dimetil sulfona", "metilsulfonilmetano");
INSERT INTO SINONIMOS VALUES("difenil", "bifenilo");
INSERT INTO SINONIMOS VALUES("dipropilacetamida", "valpromide");
INSERT INTO SINONIMOS VALUES("dironyl", "tergurida");
INSERT INTO SINONIMOS VALUES("dita", "3'4'-dicloro-2- (2-imidazolin-2-iltio) acetofenona");
INSERT INTO SINONIMOS VALUES("dromostanolona", "drostanolona");
INSERT INTO SINONIMOS VALUES("difteria-tétano", "dt");
INSERT INTO SINONIMOS VALUES("edda", "Ácido NN'-etilenodiaminodiacético");
INSERT INTO SINONIMOS VALUES("fak", "Quinase de adesão focal 1");
INSERT INTO SINONIMOS VALUES("endopeptidase", "proteinase");
INSERT INTO SINONIMOS VALUES("enterotoxina f estafilocócica", "tsst-1");
INSERT INTO SINONIMOS VALUES("Galato de epigalocatequina", "extrato de chá verde");
INSERT INTO SINONIMOS VALUES("eritromicina n-desmetilase", "cyp3a");
INSERT INTO SINONIMOS VALUES("17 beta-cipionato", "cipionato");
INSERT INTO SINONIMOS VALUES("etafenoxina", "etifoxina");
INSERT INTO SINONIMOS VALUES("Ethamivan", "etamivan");
INSERT INTO SINONIMOS VALUES("2-cianoacrilato", "cianoacrilato");
INSERT INTO SINONIMOS VALUES("apovincaminato de etilo", "vinpocetina");
INSERT INTO SINONIMOS VALUES("etoprina", "ddep");
INSERT INTO SINONIMOS VALUES("doxorrubicina / fluorouracil / mitomicina", "Protocolo de quimioterapia FAM");
INSERT INTO SINONIMOS VALUES("trigonella foenum-graecum", "fenacho");
INSERT INTO SINONIMOS VALUES("férrico", "ferro");
INSERT INTO SINONIMOS VALUES("óxido férrico sacarificado", "sacarose de ferro");
INSERT INTO SINONIMOS VALUES("subsulfato férrico", "de monsel");
INSERT INTO SINONIMOS VALUES("fgfr", "receptor do fator de crescimento do fibroblasto");
INSERT INTO SINONIMOS VALUES("mancha de fluorexona", "calceína");
INSERT INTO SINONIMOS VALUES("proteína", "receptor");
INSERT INTO SINONIMOS VALUES("gadolínio dtpa", "gd-dtpa");
INSERT INTO SINONIMOS VALUES("galocatecol", "epigalocatequina");
INSERT INTO SINONIMOS VALUES("geranilgeranilacetona", "teprenona");
INSERT INTO SINONIMOS VALUES("peptídeo semelhante ao glucagon 1", "glp-1");
INSERT INTO SINONIMOS VALUES("glucuronil glucosamina glicano sulfato", "sulodexide");
INSERT INTO SINONIMOS VALUES("gugulu", "guggul");
INSERT INTO SINONIMOS VALUES("gur", "cana de açucar");
INSERT INTO SINONIMOS VALUES("habekacin", "arbekacin");
INSERT INTO SINONIMOS VALUES("hce", "epóxido de heptacloro");
INSERT INTO SINONIMOS VALUES("hemicelulose", "masonex");
INSERT INTO SINONIMOS VALUES("heparina liase", "neutralase");
INSERT INTO SINONIMOS VALUES("B gliminal hiperimune", "imunogloulin");
INSERT INTO SINONIMOS VALUES("hexacianoferrato ii", "ferrocianeto");
INSERT INTO SINONIMOS VALUES("hexafluorosilícico", "hidrofluorosilícico");
INSERT INTO SINONIMOS VALUES("hexanóico", "caprichoso");
INSERT INTO SINONIMOS VALUES("sulfito de hidrogênio", "bissulfito");
INSERT INTO SINONIMOS VALUES("coenzima a hidroximetilglutaril", "hmg-coa");
INSERT INTO SINONIMOS VALUES("hipromelose", "hidroxipropilmetilcelulose");
INSERT INTO SINONIMOS VALUES("indopan", "alfa-metiltriptamina");
INSERT INTO SINONIMOS VALUES("inibidor inter-alfa", "proteína pi");
INSERT INTO SINONIMOS VALUES("molécula de adesão intercelular-1", "icam-1");
INSERT INTO SINONIMOS VALUES("receptor de fator-cobalamina intrínseco", "cubilin");
INSERT INTO SINONIMOS VALUES("inula helenium", "énula");
INSERT INTO SINONIMOS VALUES("iso-sulfano", "isossulfão");
INSERT INTO SINONIMOS VALUES("sulfonato de oxibenzeno isononanoil", "sinos");
INSERT INTO SINONIMOS VALUES("kutkin", "picroliv");
INSERT INTO SINONIMOS VALUES("lidaprim", "trecho");
INSERT INTO SINONIMOS VALUES("óxido de cálcio", "calcário");
INSERT INTO SINONIMOS VALUES("goma de alfarroba", "alfarroba");
INSERT INTO SINONIMOS VALUES("desidrogenase acil-coa de cadeia longa", "vlcad");
INSERT INTO SINONIMOS VALUES("proteína inflamatória de macrófagos-1", "mip-1");
INSERT INTO SINONIMOS VALUES("mecarzole", "carbendazim");
INSERT INTO SINONIMOS VALUES("mecisteína", "cisteína metil");
INSERT INTO SINONIMOS VALUES("atividade estimuladora do crescimento do melanoma", "Proteína GRO1 recombinante");
INSERT INTO SINONIMOS VALUES("metenamina", "hexamina");
INSERT INTO SINONIMOS VALUES("cofactor pqq", "pirroloquinolina quinona");
INSERT INTO SINONIMOS VALUES("metilacetileno", "propinar");
INSERT INTO SINONIMOS VALUES("metilcrotonoil-coa", "3-metilcrotonil-coa");
INSERT INTO SINONIMOS VALUES("metilenetetra-hidrofolato redutase", "mthfr");
INSERT INTO SINONIMOS VALUES("metilperona", "Melperone");
INSERT INTO SINONIMOS VALUES("midalciprano", "milnaciprano");
INSERT INTO SINONIMOS VALUES("catha edulis", "árvore khat");
INSERT INTO SINONIMOS VALUES("mmda", "3-metoxi-45-metilenodioxianfetamina");
INSERT INTO SINONIMOS VALUES("mme", "123499-hexacloro-144a588a-hexa-hidro-6-metil-67-epoxi-14-metanonaftaleno");
INSERT INTO SINONIMOS VALUES("ácido monoferroso", "ferroso");
INSERT INTO SINONIMOS VALUES("monometilpropiona", "metcatinona");
INSERT INTO SINONIMOS VALUES("mucopolissacaridase", "tiomucase");
INSERT INTO SINONIMOS VALUES("mieloblastina", "proteinase 3");
INSERT INTO SINONIMOS VALUES("n (alfa) - 4-amidinofenilalanina piperidide", "Napap");
INSERT INTO SINONIMOS VALUES("nn-dietilazasqualeno", "daz");
INSERT INTO SINONIMOS VALUES("nn-dimetiletilamina", "dmea");
INSERT INTO SINONIMOS VALUES("n-acetil-4-benzoquinonaimina", "napqi");
INSERT INTO SINONIMOS VALUES("n-acetilneuramínico", "sialic");
INSERT INTO SINONIMOS VALUES("n-butoxietanol", "2-butoxietanol");
INSERT INTO SINONIMOS VALUES("n-monoacetilcistina", "n-acetilcistina");
INSERT INTO SINONIMOS VALUES("nafta", "éter de petróleo");
INSERT INTO SINONIMOS VALUES("monóxido", "óxido");
INSERT INTO SINONIMOS VALUES("amarelo", "papel");
INSERT INTO SINONIMOS VALUES("norbinaltorphimine", "nem-bni");
INSERT INTO SINONIMOS VALUES("o-metilguanina-dna", "ADN de O6-metilguanina");
INSERT INTO SINONIMOS VALUES("proteína p30", "onconase");
INSERT INTO SINONIMOS VALUES("proteína relacionada com hormona paratiroideia", "pthrp");
INSERT INTO SINONIMOS VALUES("peptídeo", "Hormônio PYY");
INSERT INTO SINONIMOS VALUES("fenazepam", "fenazepam");
INSERT INTO SINONIMOS VALUES("fenol", "ácido carbólico");
INSERT INTO SINONIMOS VALUES("fenilmetilpirazolona", "edaravona");
INSERT INTO SINONIMOS VALUES("polipeptídeo ativador da adenilato ciclase pituitária", "pacap");
INSERT INTO SINONIMOS VALUES("polímero de poliacrilamida-hidrazida", "pachy");
INSERT INTO SINONIMOS VALUES("polietilenoglicol-asparaginase", "pegaspargase");
INSERT INTO SINONIMOS VALUES("ácido peroximonossulfúrico de potássio", "oxona");
INSERT INTO SINONIMOS VALUES("pregna-417-dieno-316-dione", "guggulsterone");
INSERT INTO SINONIMOS VALUES("peptídeo III-n-terminal tipo procolágeno", "piiinp");
INSERT INTO SINONIMOS VALUES("propadieno", "allene");
INSERT INTO SINONIMOS VALUES("prosultiamina", "tiamina propildisulfeto");
INSERT INTO SINONIMOS VALUES("proteína proto-oncogênica", "kit");
INSERT INTO SINONIMOS VALUES("proxymetacaine", "proparacaína");
INSERT INTO SINONIMOS VALUES("ps-k", "Polissacarídeo-K");
INSERT INTO SINONIMOS VALUES("bleomicina / cisplatina / vinblastina", "Protocolo de quimioterapia de PVB");
INSERT INTO SINONIMOS VALUES("piranoprofeno", "pranoprofeno");
INSERT INTO SINONIMOS VALUES("peptídeo inibitório da renina", "scrip");
INSERT INTO SINONIMOS VALUES("rodioloside", "salidroside");
INSERT INTO SINONIMOS VALUES("ácido salicilsalicílico", "salsalate");
INSERT INTO SINONIMOS VALUES("salol", "salicilato de fenila");
INSERT INTO SINONIMOS VALUES("lectin do granulomanus do heterometrus", "scorpin");
INSERT INTO SINONIMOS VALUES("dissulfeto", "sulfureto");
INSERT INTO SINONIMOS VALUES("sialoforina", "Antígeno CD43");
INSERT INTO SINONIMOS VALUES("sialosil-tn", "STn");
INSERT INTO SINONIMOS VALUES("silenciar", "gel de sílica");
INSERT INTO SINONIMOS VALUES("bicarbonato de sódio", "bicarbonato de sódio");
INSERT INTO SINONIMOS VALUES("bicromato", "dicromato");
INSERT INTO SINONIMOS VALUES("borohidreto", "tetrahidroborato");
INSERT INTO SINONIMOS VALUES("sulfito", "sulfito");
INSERT INTO SINONIMOS VALUES("tetrametafosfato de sódio", "ciclophos");
INSERT INTO SINONIMOS VALUES("antiportador", "permutador");
INSERT INTO SINONIMOS VALUES("proteínas de ligação ao fator de crescimento semelhantes à insulina", "igfbp");
INSERT INTO SINONIMOS VALUES("spad", "prótese acrílica de precisão sankin");
INSERT INTO SINONIMOS VALUES("sr-at", "liberação lenta lágrimas artificiais");
INSERT INTO SINONIMOS VALUES("ss-a", "ro");
INSERT INTO SINONIMOS VALUES("ssm", "vacina contra o maruyama");
INSERT INTO SINONIMOS VALUES("poliéster de sacarose", "olestra");
INSERT INTO SINONIMOS VALUES("sulisobenzona", "benzofenona-4");
INSERT INTO SINONIMOS VALUES("teferrol", "polimaltose de ferro");
INSERT INTO SINONIMOS VALUES("2266-tetrametil-4-piperidina-n-ido", "tempo");
INSERT INTO SINONIMOS VALUES("tes", "Sulfonato de N-tris (hidroximetil) metil-2-aminometano");
INSERT INTO SINONIMOS VALUES("undecanoato de testosterona", "andriol");
INSERT INTO SINONIMOS VALUES("tetracloroisoftalonitrilo", "clorotalonil");
INSERT INTO SINONIMOS VALUES("tetrametilpirazina", "ligustrazina");
INSERT INTO SINONIMOS VALUES("ácido tiazolidino-4-carboxílico", "tioprina");
INSERT INTO SINONIMOS VALUES("microssomal", "peroxidase");
INSERT INTO SINONIMOS VALUES("níquel de titânio", "ni-ti");
INSERT INTO SINONIMOS VALUES("tabaco", "cigarro");
INSERT INTO SINONIMOS VALUES("tri-o-cresil", "triortocresil");
INSERT INTO SINONIMOS VALUES("tricloroacetaldeído", "cloral");
INSERT INTO SINONIMOS VALUES("triclorossacarose", "Sucralose");
INSERT INTO SINONIMOS VALUES("trissulfapirimidina", "sulfa triplo");
INSERT INTO SINONIMOS VALUES("troxerutina", "Venoruton");
INSERT INTO SINONIMOS VALUES("fator de necrose tumoral", "tnf");
INSERT INTO SINONIMOS VALUES("urinastatina", "ulinastatina");
INSERT INTO SINONIMOS VALUES("uromucóide", "proteína tamm-horsfall");
INSERT INTO SINONIMOS VALUES("universidade wisconsin-lactobionate", "uw");
INSERT INTO SINONIMOS VALUES("doxorrubicina / procarbazina / vincristina", "Quimioterapia de combinação VAP");
INSERT INTO SINONIMOS VALUES("doxorrubicina / prednisona / vincristina", "Protocolo de quimioterapia DPV");
INSERT INTO SINONIMOS VALUES("catapora", "varicela");
INSERT INTO SINONIMOS VALUES("molécula de adesão celular vascular-1", "vcam-1");
INSERT INTO SINONIMOS VALUES("alfa-tocoferol", "tocoferol");
INSERT INTO SINONIMOS VALUES("cisplatina / etoposide", "Quimioterapia VP-P");
INSERT INTO SINONIMOS VALUES("ácido metilfosfonotioico s- (2- (bis o-etil ester)", "Gás nervoso VX");
INSERT INTO SINONIMOS VALUES("mepirodipina", "barnidipina");
INSERT INTO SINONIMOS VALUES("associados à ajuda", "associado ao hiv");
INSERT INTO SINONIMOS VALUES("endopeptidases", "protease");
INSERT INTO SINONIMOS VALUES("autotransfusão eritrocitária", "doping sanguíneo");
INSERT INTO SINONIMOS VALUES("perda de sangue cirúrgica", "hemorragia operatória");
INSERT INTO SINONIMOS VALUES("c-src", "SRC");
INSERT INTO SINONIMOS VALUES("Eritrodermia ictiosiforme congênita bolhosa", "hiperceratose epidermolítica");
INSERT INTO SINONIMOS VALUES("envelhecido", "idosos");
INSERT INTO SINONIMOS VALUES("dentição primária", "dente de leite");
INSERT INTO SINONIMOS VALUES("fibromatose agressiva", "desmoide");
INSERT INTO SINONIMOS VALUES("esofagogastroduodenoscopia", "egd");
INSERT INTO SINONIMOS VALUES("síndrome da Imunodeficiência Adquirida", "Auxilia");
INSERT INTO SINONIMOS VALUES("retinoblastoma", "rb");
INSERT INTO SINONIMOS VALUES("fator de crescimento transformador beta2", "tgf-beta 2");
INSERT INTO SINONIMOS VALUES("fator estimulador de colônias de granulócitos", "g-csf");
INSERT INTO SINONIMOS VALUES("fator estimulante de colônias de granulócitos-macrófagos", "gm-csf");
INSERT INTO SINONIMOS VALUES("interdisciplinar", "multidisciplinar");
INSERT INTO SINONIMOS VALUES("pessoas com deficiência", "retardado");
INSERT INTO SINONIMOS VALUES("síndrome de imunodeficiência adquirida murina", "MAIDS");
INSERT INTO SINONIMOS VALUES("mioelétrico", "motor");
INSERT INTO SINONIMOS VALUES("nf-kappa", "fator nuclear kappa");
INSERT INTO SINONIMOS VALUES("n-metil-d-aspartato", "nmda");
INSERT INTO SINONIMOS VALUES("RNA catalítico", "ribozima");
INSERT INTO SINONIMOS VALUES("síndroma de imunodeficiência adquirida símio", "disse");
INSERT INTO SINONIMOS VALUES("disrafismo", "bífida");
INSERT INTO SINONIMOS VALUES("tensão", "puxar lágrima");
INSERT INTO SINONIMOS VALUES("linfócito t", "célula t");
INSERT INTO SINONIMOS VALUES("taquiarritmia", "pulsação irregular rápida");
INSERT INTO SINONIMOS VALUES("fator de crescimento transformador beta1", "tgf-beta 1");
INSERT INTO SINONIMOS VALUES("retenção urinária", "incapacidade bexiga vazia");
INSERT INTO SINONIMOS VALUES("doenças urogenitais", "distúrbios geniturinários");
INSERT INTO SINONIMOS VALUES("genes de v-abl", "oncogene abl");
INSERT INTO SINONIMOS VALUES("oncogenes", "src");
INSERT INTO SINONIMOS VALUES("Ácido 56-dimetilxantenonaacético", "dmxaa");
INSERT INTO SINONIMOS VALUES("daisaikoto", "dai-saiko-to");
INSERT INTO SINONIMOS VALUES("regulador de sinal extracelular 1", "proteína ativada por mitógeno");
INSERT INTO SINONIMOS VALUES("fluorofórmio", "trifluorometano");
INSERT INTO SINONIMOS VALUES("interleucina-11", "il-11");
INSERT INTO SINONIMOS VALUES("amsacrina / azacitidina / etoposide", "Protocolo de quimioterapia MAZE");
INSERT INTO SINONIMOS VALUES("nichrome", "níquel cromo");
INSERT INTO SINONIMOS VALUES("proteína morfogenética óssea 7", "bmp-7");
INSERT INTO SINONIMOS VALUES("pleiotrofina", "fator de crescimento de ligação à heparina 8");
INSERT INTO SINONIMOS VALUES("cisplatina / etoposide / metotrexato", "Deputado europeu");
INSERT INTO SINONIMOS VALUES("prótese parcial parcial fixada em resina", "ponte de maryland");
INSERT INTO SINONIMOS VALUES("mamoplastia", "cirurgia plástica de mama");
INSERT INTO SINONIMOS VALUES("sistemas integrados de gestão avançada de informação", "iaims");
INSERT INTO SINONIMOS VALUES("pênfigo benigno familiar", "doença hailey-hailey");
INSERT INTO SINONIMOS VALUES("Absorção de anticorpos treponêmicos fluorescentes", "fta-abs");
INSERT INTO SINONIMOS VALUES("imunodeficiência combinada grave", "scid");
INSERT INTO SINONIMOS VALUES("neurofibromatose", "NF2");
INSERT INTO SINONIMOS VALUES("pós-anestesia", "sala de recuperação");
INSERT INTO SINONIMOS VALUES("mucopolissacaridose vii", "síndrome manhoso");
INSERT INTO SINONIMOS VALUES("prosencéfalo", "prosencéfalo");
INSERT INTO SINONIMOS VALUES("agroquímicos", "produtos químicos agrícolas");
INSERT INTO SINONIMOS VALUES("pancreatoduodenectomia", "procedimento whipple");
INSERT INTO SINONIMOS VALUES("telefacsimile", "fax");
INSERT INTO SINONIMOS VALUES("gestacional", "gravidez induzida");
INSERT INTO SINONIMOS VALUES("encefalopatia espongiforme bovina", "Doença da vaca louca");
INSERT INTO SINONIMOS VALUES("inibidor da coagulação", "anticoagulante");
INSERT INTO SINONIMOS VALUES("pulmonar de células plasmáticas de granuloma", "pseudotumor inflamatório pulmonar");
INSERT INTO SINONIMOS VALUES("célula plasmática de granuloma", "pseudotumor");
INSERT INTO SINONIMOS VALUES("comportamento", "dano deliberado");
INSERT INTO SINONIMOS VALUES("eritema infeccioso", "quinta doença");
INSERT INTO SINONIMOS VALUES("interleucina-10", "il-10");
INSERT INTO SINONIMOS VALUES("physarum polycephalum", "molde de limo");
INSERT INTO SINONIMOS VALUES("nucleatum", "fusiforme");
INSERT INTO SINONIMOS VALUES("manguito rotador", "articulação do tendão");
INSERT INTO SINONIMOS VALUES("fenilcetonúria", "pku");
INSERT INTO SINONIMOS VALUES("recessivo autossômico renal policístico", "arpkd");
INSERT INTO SINONIMOS VALUES("encefalopatia", "doença cerebral");
INSERT INTO SINONIMOS VALUES("micção", "urinário");
INSERT INTO SINONIMOS VALUES("hipoalgesia", "hiperalgesia");
INSERT INTO SINONIMOS VALUES("humor indiferente", "apatia");
INSERT INTO SINONIMOS VALUES("fotopsia", "luzes piscando");
INSERT INTO SINONIMOS VALUES("fotofobia", "luz machuca os olhos");
INSERT INTO SINONIMOS VALUES("cisto sinovial", "gânglio");
INSERT INTO SINONIMOS VALUES("condromalácia", "amolecimento da cartilagem articular");
INSERT INTO SINONIMOS VALUES("abuso de álcool", "problema com bebida");
INSERT INTO SINONIMOS VALUES("pulmão", "bronquial");
INSERT INTO SINONIMOS VALUES("síndrome rica em hamman", "fibrose pulmonar idiopática");
INSERT INTO SINONIMOS VALUES("fator de transcrição", "proteína ativadora");
INSERT INTO SINONIMOS VALUES("biópsia", "aspiração por agulha");
INSERT INTO SINONIMOS VALUES("independência", "autonomia");
INSERT INTO SINONIMOS VALUES("doenças de pele", "dermatose");
INSERT INTO SINONIMOS VALUES("calmette-guerin", "almette-guerin");
INSERT INTO SINONIMOS VALUES("cavia", "cobaia");
INSERT INTO SINONIMOS VALUES("clínico", "hospital");
INSERT INTO SINONIMOS VALUES("tri-hidrato monoacetato", "acetato");
INSERT INTO SINONIMOS VALUES("ilícito", "ilegal");
INSERT INTO SINONIMOS VALUES("Pheretima Sieboldi", "minhoca");
INSERT INTO SINONIMOS VALUES("enterobíase", "infecção pinworm");
INSERT INTO SINONIMOS VALUES("flavobactéria", "chryseobacterium");
